"galaxy","attempted_status","partial_branch_status","partial_failure_stage","partial_failure_reason","partial_N_valid_points","spectral_branch_status","spectral_failure_reason","spectral_N_valid_points","final_chain_label"
"UGC08286","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"UGC08490","ATTEMPTED","COMPLETED","","","30","VALID","","30.0","SPECTRAL_VALID_76"
"UGC08550","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","11","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC08699","ATTEMPTED","COMPLETED","","","41","VALID","","41.0","SPECTRAL_VALID_76"
"UGC08837","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","8","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC09037","ATTEMPTED","COMPLETED","","","22","VALID","","22.0","SPECTRAL_VALID_76"
"UGC09133","ATTEMPTED","COMPLETED","","","68","VALID","","68.0","SPECTRAL_VALID_76"
"UGC09992","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC10310","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC11455","ATTEMPTED","COMPLETED","","","36","VALID","","36.0","SPECTRAL_VALID_76"
"UGC11557","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"UGC11820","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC11914","ATTEMPTED","COMPLETED","","","65","VALID","","65.0","SPECTRAL_VALID_76"
"UGC12506","ATTEMPTED","COMPLETED","","","31","VALID","","31.0","SPECTRAL_VALID_76"
"UGC12632","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"UGC12732","ATTEMPTED","COMPLETED","","","16","VALID","","16.0","SPECTRAL_VALID_76"
"UGCA281","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGCA442","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGCA444","ATTEMPTED","COMPLETED","","","36","VALID","","36.0","SPECTRAL_VALID_76"
