galaxy_id,sample_branch,control_tier,n_realizations,n_valid_realizations,observed_statistic,control_median,control_mean,control_std,control_p05,control_p16,control_p84,control_p95,empirical_percentile_observed,empirical_p_two_sided,finite_status,notes
G0007,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.6188991867444803,0.19374311793239096,0.22096742433332486,0.15814237227078221,0.016209157343576273,0.062265108858430056,0.38948439326112416,0.50916370073935124,0.97999999999999998,0.02097902097902098,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0008,partial_rank_134,circular_shift_control_partial_rank,14,14,-0.46769017184596318,0.072844787953133899,0.03460598788698023,0.4515759971174077,-0.59759710613519856,-0.53998642748970394,0.52668122561496833,0.62410571883658772,0.21428571428571427,0.53333333333333333,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0008,partial_rank_134,circular_shift_control_partial_rank_absolute,14,14,0.46769017184596318,0.45905327114747252,0.40734902493769198,0.19795258890079323,0.094253829626688698,0.1754321623371648,0.61871466847544443,0.63033860587557455,0.5,0.53333333333333333,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0008,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.46769017184596318,-0.017743679426495206,-0.01345404493265592,0.27969254337815119,-0.46482230284983689,-0.31360765861392864,0.30035409492183029,0.43405546779740212,0.049000000000000002,0.083916083916083919,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0008,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.46769017184596318,0.22461462272093352,0.23635716656149228,0.15014732752004575,0.021555820286638668,0.070988077111357198,0.3987916960990065,0.50636593183037804,0.91700000000000004,0.083916083916083919,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0009,partial_rank_134,circular_shift_control_partial_rank,29,29,-0.33143687213976097,-0.035555401168905057,0.019398235662470637,0.41269464070803125,-0.51666826701457091,-0.44660638753847781,0.52041617083932712,0.62091815152654417,0.31034482758620691,0.6333333333333333,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0009,partial_rank_134,circular_shift_control_partial_rank_absolute,29,29,0.33143687213976097,0.41302458986979207,0.3754628225400039,0.17239729379036464,0.070463839516878485,0.20300480864450626,0.53285967661238975,0.62091815152654417,0.37931034482758619,0.6333333333333333,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0009,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.33143687213976097,0.0093642749621981047,0.0072215745120531079,0.18899598275283935,-0.29799887598352631,-0.19474326308956033,0.19706239877655682,0.32508049053402438,0.035999999999999997,0.084915084915084912,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0009,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.33143687213976097,0.13508943173560156,0.15451393802500646,0.10907371631676051,0.013883650746981278,0.043390470553976525,0.27027084007793101,0.35825964156922085,0.91600000000000004,0.084915084915084912,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0009,spectral_control_76,random_phase_surrogate_radial_template,1000,1000,0.65533436281351043,0.65533436281351043,0.65533436281351054,1.5673423884604178e-16,0.65533436281351021,0.65533436281351032,0.65533436281351043,0.65533436281351043,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0009,spectral_control_76,random_phase_surrogate_residual,1000,1000,0.61764385966862378,0.61764385966862378,0.61764385966862367,1.7564696685433543e-16,0.61764385966862378,0.61764385966862378,0.6176438596686239,0.61764385966862401,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0009,spectral_control_76,smooth_profile_exponential_reference,1,1,,0.54841116895906106,0.54841116895906106,0,0.54841116895906106,0.54841116895906106,0.54841116895906106,0.54841116895906106,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0009,spectral_control_76,smooth_profile_linear_reference,1,1,,0.55293651198333094,0.55293651198333094,0,0.55293651198333094,0.55293651198333094,0.55293651198333094,0.55293651198333094,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0009,spectral_control_76,smooth_profile_quadratic_reference,1,1,,0.57036991400033354,0.57036991400033354,0,0.57036991400033354,0.57036991400033354,0.57036991400033354,0.57036991400033354,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0010,partial_rank_134,circular_shift_control_partial_rank,16,16,-0.38516986191914848,-0.04344894593665919,0.02296160176972651,0.38241077642770949,-0.45556768961782318,-0.35722805839296717,0.48003070052640251,0.60240732899479421,0.1875,0.47058823529411764,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0010,partial_rank_134,circular_shift_control_partial_rank_absolute,16,16,0.38516986191914848,0.33475928375374731,0.34700245463399154,0.1623407945091429,0.088714180088848738,0.20794724610402077,0.51124453588060914,0.60240732899479421,0.5625,0.47058823529411764,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
